,id,source,target,length_m,X,Y,name,charging_stations,model_type,range,capacity
105,10105,8863742,8867500,3010.574501261619,4.567076573139815,51.9040031878656,"('8863742', '8867500')",,link,150000,600
106,10106,8863742,8864009,6345.434042802259,4.529788330107969,51.91155238987895,"('8863742', '8864009')",,link,150000,600
107,10107,8863288,8863762,21524.16830629768,5.456906492884945,52.697565573068346,"('8863288', '8863762')",,link,150000,600
108,10108,8863288,8862616,8835.261466304937,5.336252743606985,52.7622689918619,"('8863288', '8862616')",,link,150000,600
109,10109,8867083,8862801,19982.07204534722,4.2388686185458955,51.58046011071936,"('8867083', '8862801')",,link,150000,600
110,10110,8867515,8864384,12312.66212513234,5.00486290431778,52.3839931686271,"('8867515', '8864384')",,link,150000,600
111,10111,8862801,8864258,11536.729731823743,4.30381222864868,51.65016650483605,"('8862801', '8864258')",,link,150000,600
112,10112,8862801,8862992,48533.206009320114,4.1299419071438255,51.57155883129295,"('8862801', '8862992')",,link,150000,600
113,10113,8862292,8861986,6758.126730632686,4.413469668715365,51.919184595604094,"('8862292', '8861986')",,link,150000,600
114,10114,8862292,8866388,7460.086858748054,4.442274229472795,51.9192952817415,"('8862292', '8866388')",,link,150000,600
115,10115,8865412,8861687,32434.10909036162,5.682729671849341,51.8815162628356,"('8865412', '8861687')",,link,150000,600
116,10116,8866095,8865846,1237.4271420654368,5.1088190157198206,52.04387364634745,"('8866095', '8865846')",,link,150000,600
117,10117,8861462,8867489,4925.477692048235,3.8326072109745652,51.29834006989215,"('8861462', '8867489')",,link,150000,600
118,10118,8860579,8866512,15216.961607814945,6.638308079268626,52.30340358026525,"('8860579', '8866512')",,link,150000,600
119,10119,8860579,8864153,16360.268924364946,6.723060865222015,52.2430021011035,"('8860579', '8864153')",,link,150000,600
120,10120,8862592,8864384,4659.573897961478,4.931344231914215,52.3807439966954,"('8862592', '8864384')",,link,150000,600
121,10121,8861752,8861863,4447.126251963466,4.642423567366885,52.46357970763705,"('8861752', '8861863')",,link,150000,600
122,10122,8860725,8860743,20683.30028898104,4.52821917277288,51.708222909511704,"('8860725', '8860743')",,link,150000,600
123,10123,8865990,8864319,68798.30264237327,5.712304877163126,51.38728774858195,"('8865990', '8864319')",,link,150000,600
124,10124,22637863,8860623,92.32237863656498,6.154291710597015,51.39348838186455,"('22637863', '8860623')",,link,150000,600
125,10125,8861968,8862506,494.8782786130264,6.07365010250715,52.5236097616649,"('8861968', '8862506')",,link,150000,600
126,10126,8861968,8860582,16652.10461941077,6.074083394941685,52.5803343849682,"('8861968', '8860582')",,link,150000,600
127,10127,8861968,8864912,3759.3725750651683,6.059046326230891,52.51451619094745,"('8861968', '8864912')",,link,150000,600
128,10128,8861687,8865600,15165.06598797255,5.845764512477936,51.811951421440504,"('8861687', '8865600')",,link,150000,600
129,10129,8861687,8863354,3348.901030302486,5.8406182034250556,51.859276598130954,"('8861687', '8863354')",,link,150000,600
130,10130,8868208,8861292,15305.284316640002,5.845022259109456,51.09988159275055,"('8868208', '8861292')",,link,150000,600
131,10131,8861920,8860582,961.2215030384722,6.078817705458219,52.638844949339855,"('8861920', '8860582')",,link,150000,600
132,10132,8865214,8867538,10239.160629660068,4.657341907078595,51.991735802458244,"('8865214', '8867538')",,link,150000,600
133,10133,8864435,8861681,4309.579634737994,5.921277237330925,53.1574856522733,"('8864435', '8861681')",,link,150000,600
134,10134,8864912,8868191,23384.822600347838,5.968232963620671,52.5380752541263,"('8864912', '8868191')",,link,150000,600
135,10135,8867392,8865846,5150.090118295874,5.1017212513663,52.03032040431495,"('8867392', '8865846')",,link,150000,600
136,10136,8867392,8861231,1347.594709895256,5.0944630799438695,52.006925111529995,"('8867392', '8861231')",,link,150000,600
137,10137,8861829,8865470,1439.7522013413216,5.418693141220304,52.511442528708244,"('8861829', '8865470')",,link,150000,600
138,10138,8860933,8864167,13938.697275607525,5.368922377125346,53.1307685711126,"('8860933', '8864167')",,link,150000,600
139,10139,8860933,8863336,28928.401913894573,5.322533518913165,52.962713818869496,"('8860933', '8863336')",,link,150000,600
140,10140,8861292,8864319,1563.8968251423835,5.892077928412336,51.15902476651685,"('8861292', '8864319')",,link,150000,600
141,10141,8861292,8863599,271.6740797948696,5.888427062335401,51.153966103512346,"('8861292', '8863599')",,link,150000,600
142,10142,8862497,8865817,1029.157007993054,4.588400982887295,52.470056279816404,"('8862497', '8865817')",,link,150000,600
143,10143,8863630,8868359,1034.8561856146985,4.83037221964422,51.711996879831204,"('8863630', '8868359')",,link,150000,600
144,10144,8862614,8867785,4541.701591594181,3.6861295243106547,51.42935655077605,"('8862614', '8867785')",,link,150000,600
145,10145,22638146,8865631,247.976977009192,5.44421991998588,51.884857512650655,"('22638146', '8865631')",,link,150000,600
146,10146,8863336,8862616,6581.681186578718,5.30538567174628,52.81176158211615,"('8863336', '8862616')",,link,150000,600
147,10147,8863336,8865143,40087.11882404643,5.48658141617705,52.83724036426655,"('8863336', '8865143')",,link,150000,600
148,10148,8863710,8864009,2629.8158073469385,4.49528962036419,51.91295196401795,"('8863710', '8864009')",,link,150000,600
149,10149,8863710,8866388,2130.4126642699316,4.47613880740085,51.9043874753838,"('8863710', '8866388')",,link,150000,600
150,10150,8863710,8863306,2075.649596554211,4.492396057102985,51.9133661950382,"('8863710', '8863306')",,link,150000,600
151,10151,8867824,8865869,1085.0151905623702,4.0031481279525405,51.4369080963546,"('8867824', '8865869')",,link,150000,600
152,10152,8867824,8862858,23899.461668617103,3.909086966545315,51.39240645839925,"('8867824', '8862858')",,link,150000,600
153,10153,8867824,8867785,37924.359707178024,3.85099688035047,51.42880775349555,"('8867824', '8867785')",,link,150000,600
154,10154,8865143,8868409,3898.359775561027,5.67331663522252,52.8475004980465,"('8865143', '8868409')",,link,150000,600
155,10155,8865143,8865894,5298.212652483567,5.686559262268361,52.83550638522875,"('8865143', '8865894')",,link,150000,600
156,10156,8864258,8866727,4287.186346464667,4.37121946554408,51.670195071572095,"('8864258', '8866727')",,link,150000,600
157,10157,22638327,8863354,148.81001843146916,5.854103977459134,51.85209955227545,"('22638327', '8863354')",,link,150000,600
158,10158,8864737,8865803,11931.86907901251,4.38275508454935,51.851827797457254,"('8864737', '8865803')",,link,150000,600
159,10159,8868191,8863596,13065.594194231064,5.832828392251685,52.5778515805241,"('8868191', '8863596')",,link,150000,600
160,10160,8860623,8863114,26592.040379090307,6.11666119803461,51.47050352472685,"('8860623', '8863114')",,link,150000,600
161,10161,8860623,8864825,31092.798676726386,6.071391853245094,51.310719113021946,"('8860623', '8864825')",,link,150000,600
162,10162,8864384,8865887,12677.00695130395,4.98669176458338,52.34312109366275,"('8864384', '8865887')",,link,150000,600
163,10163,8867258,8862690,22054.022383817028,5.62007016398915,52.5199914002324,"('8867258', '8862690')",,link,150000,600
164,10164,8867258,8867901,7802.775698419793,5.740435100837081,52.561460613334845,"('8867258', '8867901')",,link,150000,600
165,10165,8864009,8863306,651.3288639667403,4.503066163684995,51.91768524328735,"('8864009', '8863306')",,link,150000,600
166,10166,8862448,8864929,9622.681015805589,5.948493482352459,51.186615680071,"('8862448', '8864929')",,link,150000,600
167,10167,8862448,8864825,3176.1169859780193,5.985272076034585,51.21570904184895,"('8862448', '8864825')",,link,150000,600
168,10168,8862210,8867901,12251.17421087467,5.71149438852263,52.59424468065604,"('8862210', '8867901')",,link,150000,600
169,10169,8864825,8864929,10568.213167819993,5.951412510807675,51.198567415685844,"('8864825', '8864929')",,link,150000,600
170,10170,8867600,8864167,8409.387779932304,5.3649276466279705,53.183352734037356,"('8867600', '8864167')",,link,150000,600
171,10171,8867600,30986055,8380.518917153964,5.36523098058491,53.1834194972206,"('8867600', '30986055')",,link,150000,600
172,10172,8864553,8865600,15752.141728287595,5.91390123800074,51.72019090108545,"('8864553', '8865600')",,link,150000,600
173,10173,8864553,8863114,22472.167086056357,6.02099854062055,51.6147523701944,"('8864553', '8863114')",,link,150000,600
174,10174,8863114,22638019,69.62598264212046,6.07876855488008,51.546917506879055,"('8863114', '22638019')",,link,150000,600
175,10175,8863475,8861158,3407.5075506013595,4.297166693897999,51.88991138802715,"('8863475', '8861158')",,link,150000,600
176,10176,8864167,30986055,68.70060813168062,5.40212532099331,53.17738116154335,"('8864167', '30986055')",,link,150000,600
177,10177,8866388,8861986,6422.974310842722,4.43885354026209,51.9000313488614,"('8866388', '8861986')",,link,150000,600
178,10178,8866137,8862161,13980.310768799009,5.18826312072836,51.73548249380786,"('8866137', '8862161')",,link,150000,600
179,10179,8861681,8865462,21676.335695848804,5.843043399317461,53.18331864333315,"('8861681', '8865462')",,link,150000,600
180,10180,8863125,8865894,451.72185183617614,5.709454761352545,52.83950381295155,"('8863125', '8865894')",,link,150000,600
181,10181,8863125,8868409,4489.0493097566605,5.696212134306705,52.8514979257693,"('8863125', '8868409')",,link,150000,600
182,10182,8861863,8865817,4279.454749882435,4.603268309901835,52.46733176109735,"('8861863', '8865817')",,link,150000,600
183,10183,8864319,8864929,2072.412143806971,5.9057877963538346,51.16668174522725,"('8864319', '8864929')",,link,150000,600
184,10184,8866775,8862161,4204.47196236792,5.262740194913626,51.7222609009639,"('8866775', '8862161')",,link,150000,600
185,10185,8866727,8860743,5934.3406652686745,4.41208880200492,51.69053722215415,"('8866727', '8860743')",,link,150000,600
186,10186,8867901,8863596,1022.9995319265565,5.7705211488269645,52.58365519986249,"('8867901', '8863596')",,link,150000,600
187,10187,8865846,8866045,1756.8508609858898,5.109518640347485,52.0557800697008,"('8865846', '8866045')",,link,150000,600
188,10188,8862992,8865869,8013.645657179569,4.00727757826387,51.4701091925662,"('8862992', '8865869')",,link,150000,600
189,10189,8861625,8861372,2495.7033194149653,4.76100284009991,52.62723566526335,"('8861625', '8861372')",,link,150000,600
190,10190,8861625,8865644,43695.14134824555,4.769609251925935,52.78905411545735,"('8861625', '8865644')",,link,150000,600
191,10191,8866045,8867240,810.1520915585847,5.1149456753206,52.06598080447385,"('8866045', '8867240')",,link,150000,600
192,10192,8864837,8865887,2899.1081096888047,5.021256608688075,52.2912791230546,"('8864837', '8865887')",,link,150000,600
193,10193,8864837,8864020,606.2860549203193,5.02213195480567,52.275697177702746,"('8864837', '8864020')",,link,150000,600
194,10194,8867538,8867374,12269.485852538608,4.603853453353435,51.94152349997615,"('8867538', '8867374')",,link,150000,600
195,10195,8867500,8865140,4548.7114559023,4.599769118999225,51.89577170179895,"('8867500', '8865140')",,link,150000,600
196,10196,8867500,8867374,2903.957468619093,4.578663172039355,51.9082009262004,"('8867500', '8867374')",,link,150000,600
197,10197,8862858,8867489,3317.5322882847117,3.822197680812565,51.3328678837737,"('8862858', '8867489')",,link,150000,600
198,10198,8862161,11309119,8936.924149917042,5.288520369293485,51.740879765330206,"('8862161', '11309119')",,link,150000,600
199,10199,8865600,22638404,22323.297714000786,5.770299835624151,51.77522891623675,"('8865600', '22638404')",,link,150000,600
200,10200,8862690,8863709,3789.8471672387113,5.525509915760905,52.5175458741084,"('8862690', '8863709')",,link,150000,600
201,10201,,,,5.7732590123401595,53.0464981494583,8864915,0.0,intermediate_node,150000,600
202,10202,,,,5.14516849598416,53.3225606820166,8861447,0.0,intermediate_node,150000,600
203,10203,,,,5.609111526431671,52.363166507084,8866661,0.0,intermediate_node,150000,600
204,10204,,,,5.0995495058177,51.571718686257405,8867740,2.0,harbour_with_charging,150000,600
205,10205,,,,4.54022222896137,52.2013072770258,8866564,2.0,harbour_with_charging,150000,600
206,10206,,,,5.07757538440218,52.09654700441771,8860732,0.0,intermediate_node,150000,600
207,10207,,,,6.8318458784622,53.4442740040268,8866297,2.0,harbour_with_charging,150000,600
208,10208,,,,4.57230998083105,51.6925587903232,30984595,2.0,harbour_with_charging,150000,600
209,10209,,,,4.77200235947372,52.95743141987689,8861568,0.0,harbour,150000,600
