,id,source,target,length_m,X,Y,name,charging_stations,model_type
136,10136,8860743,8866727,5934.3406652686745,4.41208880200492,51.69053722215415,"('8860743', '8866727')",,link
137,10137,22638404,8860920,17405.0201831585,5.60626727496069,51.8043525637273,"('22638404', '8860920')",,link
138,10138,22638404,8865600,22323.297714000786,5.770299835624151,51.77522891623675,"('22638404', '8865600')",,link
139,10139,8862858,8863105,665.1158085561353,3.81676705330237,51.34647877680645,"('8862858', '8863105')",,link
140,10140,8862858,8867489,3317.5322882847117,3.822197680812565,51.3328678837737,"('8862858', '8867489')",,link
141,10141,8863105,8863891,8196.865759687154,3.7785163367817898,51.35669641662195,"('8863105', '8863891')",,link
142,10142,8863105,8863755,766.6858464489444,3.8124323446994097,51.3430022837332,"('8863105', '8863755')",,link
143,10143,8862161,8866137,13980.310768799009,5.18826312072836,51.73548249380786,"('8862161', '8866137')",,link
144,10144,8862161,11309119,8936.924149917042,5.288520369293485,51.740879765330206,"('8862161', '11309119')",,link
145,10145,8867600,30986055,8380.518917153964,5.36523098058491,53.1834194972206,"('8867600', '30986055')",,link
146,10146,8863796,8866747,1562.5440565588387,4.894547929894944,52.389459826698904,"('8863796', '8866747')",,link
147,10147,8863796,8862592,1460.6439182086408,4.90428366444431,52.3815368789814,"('8863796', '8862592')",,link
148,10148,8863796,8865186,2125.464097906425,4.8913661710525655,52.38594780549665,"('8863796', '8865186')",,link
149,10149,8862292,8866388,7460.086858748054,4.442274229472795,51.9192952817415,"('8862292', '8866388')",,link
150,10150,8864005,8864076,6879.51793322567,5.22470698731073,52.42280843408605,"('8864005', '8864076')",,link
151,10151,8864020,8864837,606.2860549203193,5.02213195480567,52.275697177702746,"('8864020', '8864837')",,link
152,10152,8863710,8864009,2629.8158073469385,4.49528962036419,51.91295196401795,"('8863710', '8864009')",,link
153,10153,8863710,8866388,2130.4126642699316,4.47613880740085,51.9043874753838,"('8863710', '8866388')",,link
154,10154,8863710,8863306,2075.649596554211,4.492396057102985,51.9133661950382,"('8863710', '8863306')",,link
155,10155,8865186,8866747,1071.695130157798,4.88771329916137,52.39188134890775,"('8865186', '8866747')",,link
156,10156,8863206,8861716,4985.745660838811,4.34226285535736,51.89693226794344,"('8863206', '8861716')",,link
157,10157,8867489,8861462,4925.477692048235,3.8326072109745652,51.29834006989215,"('8867489', '8861462')",,link
158,10158,8867489,8863755,2824.9912757553275,3.817862972209605,51.32939139070045,"('8867489', '8863755')",,link
159,10159,8864009,8863306,651.3288639667403,4.503066163684995,51.91768524328735,"('8864009', '8863306')",,link
160,10160,8864009,8863742,6345.434042802259,4.529788330107969,51.91155238987895,"('8864009', '8863742')",,link
161,10161,8865990,8864319,68798.30264237327,5.712304877163126,51.38728774858195,"('8865990', '8864319')",,link
