,length,condition,lat,lon,intersection,model_type,id,road,name
1732,1530,NaN,24.27353393,91.48158629,0,link,11732,N2,
1733,27,A,24.27880635,91.48592546,,bridge,11733,N2,
1734,1234,NaN,24.28186722,91.49098071,0,link,11734,N2,
1735,12.6,C,24.2849281,91.49603595,,bridge,11735,N2,
1736,267,NaN,24.28558238,91.49711113,0,link,11736,N2,
1737,2,C,24.28623665,91.49818631,,bridge,11737,N2,
1738,664,NaN,24.2878307,91.50094881,0,link,11738,N2,
1739,2,A,24.28942474,91.50371131,,bridge,11739,N2,
1740,884,NaN,24.29207332,91.50689731,0,link,11740,N2,
1741,4,,24.2947219,91.5100833,N207,intersection,11741,N2,
1742,133,NaN,24.29525807,91.51030944,0,link,11742,N2,
1743,1.5,A,24.29579423,91.51053558,,bridge,11743,N2,
1744,282,NaN,24.29691049,91.51088526,0,link,11744,N2,
1745,17.2,A,24.29802675,91.51123494,,bridge,11745,N2,
1746,297,NaN,24.29930362,91.5116282,0,link,11746,N2,
1747,1.9,A,24.30058049,91.51202147,,bridge,11747,N2,
1748,494,NaN,24.30249213,91.51357172,0,link,11748,N2,
1749,2,A,24.30440376,91.51512198,,bridge,11749,N2,
1750,261,NaN,24.30524391,91.51619664,0,link,11750,N2,
1751,1.5,A,24.30608406,91.5172713,,bridge,11751,N2,
1752,747,NaN,24.30857549,91.51899474,0,link,11752,N2,
1753,6.3,A,24.31106691,91.52071819,,bridge,11753,N2,
1754,808,NaN,24.31376582,91.52333978,0,link,11754,N2,
1755,8,A,24.31646473,91.52596138,,bridge,11755,N2,
1756,526,NaN,24.31839648,91.5273639,0,link,11756,N2,
1757,41,A,24.32032823,91.52876642,,bridge,11757,N2,
1758,548,NaN,24.32254426,91.52994491,0,link,11758,N2,
1759,8,A,24.32476029,91.53112341,,bridge,11759,N2,
1760,755,NaN,24.32802032,91.53211326,0,link,11760,N2,
1761,6.4,A,24.33128035,91.5331031,,bridge,11761,N2,
1762,342,NaN,24.33269751,91.53330948,0,link,11762,N2,
1763,1.3,A,24.33411467,91.53351586,,bridge,11763,N2,
1764,133,NaN,24.33457339,91.53353238,0,link,11764,N2,
1765,1.3,A,24.3350321,91.53354891,,bridge,11765,N2,
1766,272,NaN,24.33598538,91.53359335,0,link,11766,N2,
1767,4.2,A,24.33693866,91.53363778,,bridge,11767,N2,
1768,301,NaN,24.33867183,91.53395181,0,link,11768,N2,
1769,10.6,A,24.340405,91.53426584,,bridge,11769,N2,
1770,338,NaN,24.34186933,91.53456734,0,link,11770,N2,
1771,3,A,24.34333366,91.53486885,,bridge,11771,N2,
1772,303,NaN,24.344671,91.53510366,0,link,11772,N2,
1773,2.5,A,24.34600833,91.53533846,,bridge,11773,N2,
1774,615,NaN,24.34870015,91.53590568,0,link,11774,N2,
1775,58.5,B,24.35139197,91.5364729,,bridge,11775,N2,
1776,264,NaN,24.35237522,91.53715911,0,link,11776,N2,
1777,3,A,24.35335847,91.53784533,,bridge,11777,N2,
1778,914,NaN,24.35685353,91.53972065,0,link,11778,N2,
1779,3,A,24.36034858,91.54159598,,bridge,11779,N2,
1780,636,NaN,24.36309006,91.54251278,0,link,11780,N2,
1781,15.85,A,24.36583153,91.54342957,,bridge,11781,N2,
1782,598,NaN,24.36825205,91.54462625,0,link,11782,N2,
1783,19,A,24.37067256,91.54582292,,bridge,11783,N2,
1784,537,NaN,24.37288003,91.54690556,0,link,11784,N2,
1785,3,A,24.37508749,91.5479882,,bridge,11785,N2,
1786,550,NaN,24.37732235,91.54909611,0,link,11786,N2,
1787,13.6,A,24.37955721,91.55020403,,bridge,11787,N2,
1788,1086,NaN,24.38379903,91.55286458,0,link,11788,N2,
1789,2.6,A,24.38804086,91.55552513,,bridge,11789,N2,
1790,324,NaN,24.38926777,91.55638931,0,link,11790,N2,
1791,7.9,A,24.39049469,91.55725349,,bridge,11791,N2,
1792,412,NaN,24.39204427,91.55828259,0,link,11792,N2,
1793,5.2,A,24.39359386,91.5593117,,bridge,11793,N2,
1794,202,NaN,24.39437057,91.55982058,0,link,11794,N2,
1795,5.4,A,24.39514728,91.56032946,,bridge,11795,N2,
1796,320,NaN,24.39634395,91.561128,0,link,11796,N2,
1797,3,A,24.39754062,91.56192655,,bridge,11797,N2,
1798,418,NaN,24.3991646,91.56286208,0,link,11798,N2,
1799,2,A,24.40078857,91.56379761,,bridge,11799,N2,
1800,292,NaN,24.40205912,91.5641103,0,link,11800,N2,
1801,19.5,A,24.40332968,91.56442298,,bridge,11801,N2,
1802,182,NaN,24.40412885,91.56456372,0,link,11802,N2,
1803,1.5,C,24.40492802,91.56470445,,bridge,11803,N2,
1804,272,NaN,24.40617083,91.56481057,0,link,11804,N2,
1805,2.6,A,24.40741363,91.5649167,,bridge,11805,N2,
1806,744,NaN,24.41074859,91.56528628,0,link,11806,N2,
1807,5,A,24.41408355,91.56565586,,bridge,11807,N2,
1808,115,NaN,24.41460401,91.5657442,0,link,11808,N2,
1809,6.2,A,24.41512448,91.56583254,,bridge,11809,N2,
1810,196,NaN,24.41595987,91.56599362,0,link,11810,N2,
1811,10.6,A,24.41679526,91.56615469,,bridge,11811,N2,
1812,155,NaN,24.41746847,91.56634237,0,link,11812,N2,
1813,4,A,24.41814168,91.56653005,,bridge,11813,N2,
1814,159,NaN,24.41883227,91.56672258,0,link,11814,N2,
1815,2,A,24.41952285,91.56691511,,bridge,11815,N2,
1816,256,NaN,24.42063372,91.56719705,0,link,11816,N2,
1817,3.8,A,24.42174459,91.56747899,,bridge,11817,N2,
1818,200,NaN,24.42262117,91.56766543,0,link,11818,N2,
1819,37,A,24.42349774,91.56785187,,bridge,11819,N2,
1820,175,NaN,24.4242984,91.56799712,0,link,11820,N2,
1821,1.5,A,24.42509907,91.56814238,,bridge,11821,N2,
1822,143,NaN,24.42574876,91.56819584,0,link,11822,N2,
1823,1.5,A,24.42639846,91.5682493,,bridge,11823,N2,
1824,213,NaN,24.42728433,91.56815991,0,link,11824,N2,
1825,1.5,A,24.4281702,91.56807051,,bridge,11825,N2,
1826,346,NaN,24.42973686,91.56817133,0,link,11826,N2,
1827,5.3,A,24.43130351,91.56827216,,bridge,11827,N2,
1828,545,NaN,24.43371262,91.56864185,0,link,11828,N2,
1829,6.2,A,24.43612172,91.56901154,,bridge,11829,N2,
1830,45,NaN,24.43632359,91.5690275,0,link,11830,N2,
1831,14.8,A,24.43652545,91.56904347,,bridge,11831,N2,
1832,344,NaN,24.43806144,91.56919259,0,link,11832,N2,
1833,3,A,24.43959743,91.56934172,,bridge,11833,N2,
